_id,usernameTweet,ID,text,url,nbr_retweet,nbr_favorite,nbr_reply,datetime,is_reply,is_retweet,user_id
ObjectId(5ea08ff51657436c17445353),esp_covid19,1250878118434418688,¡Que te recuperes pronto!,/esp_covid19/status/1250878118434418688,0,1,0,2020-04-16 20:05:58,true,false,1239408182855905280
ObjectId(5ea08ff51657436c17445354),esp_covid19,1250859627845124098,"# SOCIEDAD  | Nuestro voluntario @Cyberjuan  desde Lima, Perú comparte una reflexión sobre la vida durante #COVID19 , algunos de los cambios que ahora vemos como temporales se podrían volver permanentes.

Lean y compártannos sus reflexiones en este tweet. 

 http:// arellanojuan.com/como-va-realme nte-a-cambiar-el-mundo-luego-del-covid-19/   …",/esp_covid19/status/1250859627845124098,0,0,0,2020-04-16 18:52:29,false,false,1239408182855905280
ObjectId(5ea08ff51657436c17445355),esp_covid19,1250843147258789888,"# LATAM  | ¿Qué medidas sanitarias y económicas están tomando los gobiernos en América Latina para contener los devastadores efectos del #COVID19 ?

Entérate en esta excelente recopilación de @ASCOA , traducida al español por nuestro equipo de voluntarios. https://www. covid19espanol.com/todo/donde-est a-el-coronavirus-en-america-latina   …",/esp_covid19/status/1250843147258789888,5,4,0,2020-04-16 17:47:00,false,false,1239408182855905280
ObjectId(5ea08ff51657436c17445356),esp_covid19,1250781246239768580,"# COMPRAS  | ¿Debo desinfectar mis comestibles una vez en casa? ¿Uso mi bolsa reutilizable o es mejor usar una bolsa de papel o plástico y tirarla?

Ante #COVID19  surgen muchas preguntas al ir/solicitar el supermercado. Aquí algunas sugerencias:  https://www. covid19espanol.com/todo/sus-pregu ntas-acerca-del-coronavirus-al-ir-al-supermercado-contestadas-por-expertos-vox?rq=vox   …",/esp_covid19/status/1250781246239768580,3,6,0,2020-04-16 13:41:02,false,false,1239408182855905280
ObjectId(5ea08ff51657436c17445357),eddy_ricketts,1250731912211116032,Missed this on the news - thank you we all need to here this.,/eddy_ricketts/status/1250731912211116032,0,1,0,2020-04-16 10:25:00,true,false,751067401920376832
ObjectId(5ea08ff51657436c17445358),VickyGO,1250652124213579780,¡Gracias a ustedes @CarinZissis  !,/VickyGO/status/1250652124213579780,0,1,0,2020-04-16 05:07:57,true,false,58548947
ObjectId(5ea08ff51657436c17445359),esp_covid19,1250651805438095360,"# SALUDMENTAL  | La pérdida de la normalidad, el miedo de las consecuencias económicas y la falta de conexión son algunos tipos de dolor que estamos sintiendo colectivamente y a los que no estamos acostumbrados. 

¿Como manejarlo? 

 https://www. covid19espanol.com/todo/esa-incom odidad-que-ests-sintiendo-es-dolor?rq=dolor   …",/esp_covid19/status/1250651805438095360,4,6,0,2020-04-16 05:06:41,false,false,1239408182855905280
ObjectId(5ea08ff51657436c1744535a),CarinZissis,1250636611957731328,Gracias a @esp_covid19  y @VickyGO  por colaborar con la traducción de nuestra página sobre las medidas de gobiernos latinoamericanos en contra de la pandemia. https:// twitter.com/ascoa/status/1 250473587934461953   …,/CarinZissis/status/1250636611957731328,3,7,1,2020-04-16 04:06:18,false,false,32547205
ObjectId(5ea08ff51657436c1744535b),esp_covid19,1250631329336737793,"A todos lxs trabajadorxs esenciales - profesionales de la salud, repartidores, trabajadores del campo, policías, cocineros, carteros y un ejército entero de mujeres y hombres valientes arriesgando su vida en la primera línea vs la pandemia - ¡MILLONES DE GRACIAS!

#QuedateEnCasa https:// twitter.com/ajplusespanol/ status/1249849853783543810   …",/esp_covid19/status/1250631329336737793,3,12,1,2020-04-16 03:45:19,false,false,1239408182855905280
ObjectId(5ea08ff51657436c1744535c),esp_covid19,1250628147420319745,"# MÉXICO  | Les recomendamos esta guía elaborada por @AnimalMX  para ayudar a los adultos mayores a pagar servicios en línea como teléfono, luz y agua. 

#quedatenecasa https:// animal.mx/2020/04/como-e nsenar-a-adultos-mayores-a-pagar-en-linea/   …",/esp_covid19/status/1250628147420319745,0,4,0,2020-04-16 03:32:40,false,false,1239408182855905280
ObjectId(5ea08ff51657436c1744535d),SaludEsCare,1250577441673838596,Infinitas gracias ,/SaludEsCare/status/1250577441673838596,0,1,0,2020-04-16 00:11:11,true,false,1152755837665972225
ObjectId(5ea08ff51657436c1744535e),esp_covid19,1250573932941520898," #MEXICO  | Un mensaje importante de autoridades médicas sobre la urgencia de equipar al personal médico con los materiales de protección necesarios para atender a lxs pacientes de #COVID19  

#QuedateEnCasa https:// twitter.com/SaludEsCare/st atus/1250200174233899008   …",/esp_covid19/status/1250573932941520898,3,3,1,2020-04-15 23:57:14,false,false,1239408182855905280
ObjectId(5ea08ff51657436c1744535f),esp_covid19,1250505648355389441,"¿Estás buscando información sobre #COVID19  de calidad, confiable y de fuentes oficiales?  

¡Entonces ingresa a nuestro sitio! 

¡Muchas gracias @ILASColumbia  por difundir nuestra iniciativa! https:// twitter.com/ILASColumbia/s tatus/1250468980436938752   …",/esp_covid19/status/1250505648355389441,1,1,0,2020-04-15 19:25:54,false,false,1239408182855905280
ObjectId(5ea08ff51657436c17445360),gmendozabazan,1250500756551188481,Teletrabajo que le llaman...,/gmendozabazan/status/1250500756551188481,0,1,0,2020-04-15 19:06:28,true,false,1200052824362668032
ObjectId(5ea08ff61657436c17445361),HispanicNewYork,1250488791523110912,"# COVID19  Información en español, compilada por @esp_covid19   https:// twitter.com/ILASColumbia/s tatus/1250468980436938752   …",/HispanicNewYork/status/1250488791523110912,1,1,0,2020-04-15 18:18:55,false,false,37093408
ObjectId(5ea08ff61657436c17445362),ASCOA,1250473587934461953,"¿Dónde está el coronavirus en América Latina? 

Lea nuestra guía de la pandemia en la región, ahora en español gracias a @esp_covid19 .  https:// bit.ly/2VtoLHL  ",/ASCOA/status/1250473587934461953,6,10,0,2020-04-15 17:18:30,false,false,26060210
ObjectId(5ea08ff61657436c17445363),ILASColumbia,1250468980436938752," Are you looking for high-quality information about #COVID19  in #Spanish ? 

  If yes, then check out this great resources, developed by @Columbia  alumni:

 http://www. covid19espanol.com   
 https:// twitter.com/esp_covid19   

@esp_covid19",/ILASColumbia/status/1250468980436938752,2,3,0,2020-04-15 17:00:12,false,false,946932368
ObjectId(5ea08ff61657436c17445364),josemktg,1250404759351238661,Información importante para todos. #COVID19  @FuerzaMigrante  @esp_covid19  @VickyGO  @martinezmau  @hoyhealth https:// twitter.com/dr_dealba/stat us/1250263029922574338   …,/josemktg/status/1250404759351238661,0,4,0,2020-04-15 12:45:00,false,false,1965438823
ObjectId(5ea08ff61657436c17445365),valeria_rg,1250383689428668416,Merci à toi ! Les dessinssont super sympathiques ,/valeria_rg/status/1250383689428668416,0,2,0,2020-04-15 11:21:17,true,false,87669219
ObjectId(5ea08ff61657436c17445366),Comicscience2,1250169053756493832,Oh! C'est étrange et agréable de se voir traduit dans une autre langue  Merci!,/Comicscience2/status/1250169053756493832,0,1,1,2020-04-14 21:08:24,true,false,1062792265398214656
ObjectId(5ea08ff61657436c17445367),esp_covid19,1250157719887233026,"Gracias @ColumbiaSIPA  por compartir nuestra iniciativa para hacer llegar información en español sobre #COVID19  a la comunidad hispana. 
*** 
Thank you @ColumbiaSIPA  for sharing our initiative to deliver information in Spanish about #COVID19  to the Hispanic community. https:// twitter.com/ColumbiaSIPA/s tatus/1250153637793402885   …",/esp_covid19/status/1250157719887233026,0,5,0,2020-04-14 20:23:21,false,false,1239408182855905280
ObjectId(5ea08ff61657436c17445368),ColumbiaSIPA,1250153642524651525,Read more [en español]: @esp_covid19   https://www. covid19espanol.com /  ,/ColumbiaSIPA/status/1250153642524651525,1,5,0,2020-04-14 20:07:09,false,false,80048596
